usrname,七夕超火,超级火箭,七夕火箭,火箭,七夕飞机,飞机,七夕办卡,办卡,金锄头,冰棍,小飞碟,鹊桥飞星,F4,有排面,七夕鹊羽,打call,帐篷,好人卡,没排面,药丸,赞,总计
专为胖子改名字,,,,,100.0,100.0,,6.0,6.0,4.0,,,19.200000000000003,,,,,1.5000000000000002,,,,236.7
没出过丰城的徐徐徐,,,,,,100.0,,,36.0,,,,39.60000000000005,,,,,55.40000000000052,,,,231.00000000000057
F4丶专业打洞,,,,,,,,,108.0,,,,89.99999999999986,,,9.999999999999996,,6.999999999999991,,,14.999999999999963,229.99999999999983
陈伯伯晨勃勃,,,,,,200.0,,,,29.0,,,,,,,,,,,,229.0
F4丶OneDay,,,,,,,,,72.0,,2.0,,43.20000000000006,,,,,95.69999999999884,,,8.699999999999985,221.5999999999989
半痴半醉半天真丶,,,,,,200.0,,,12.0,,,,5.999999999999999,,,,,2.0000000000000004,,,,220.0
瓜皮丶小突突,,,,,,200.0,,,12.0,,,,4.8,,,,,0.1,,,,216.9
不羁放纵爱一发丶Faith,,,,,,200.0,,,12.0,,,,,,,,,0.9999999999999999,,,,213.0
F4丶记忆独立,,,,,,,,,198.0,,7.0,,5.3999999999999995,,,1.9999999999999998,,0.5,,,,212.9
F4丶背影,,,,,,200.0,,,6.0,,,,2.4,,,,,1.6000000000000003,,,,210.0
咚咚锵咚咚咚m,,,,,,200.0,,,,,1.0,,,,,,,5.899999999999995,,,,206.9
F4丶老腊肉,,,,,,100.0,,,78.0,,,,,,,,0.2,21.80000000000004,,,5.999999999999995,206.00000000000003
范吕军和娇娇的私生子,,,,,,200.0,,,6.0,,,,,,,,,,,,,206.0
F4睫妹最美,,,,,,200.0,,,,,2.0,,,,,,,0.30000000000000004,,,,202.3
在南京度假,,,,,,200.0,,,,,2.0,,,,,,,,,,0.2,202.2
叫我磊少好了,,,,,,,,,132.0,,2.0,,47.40000000000007,,,,,20.200000000000017,,,,201.60000000000008
F4丶红军利物浦,,,,,,200.0,,,,,,,1.2,,,,,,,,0.30000000000000004,201.5
冷大叔5200,,,,,,200.0,,,,,,,1.2,,,,,0.1,,,,201.29999999999998
Eva色色,,,,,,200.0,,,,,,,,,,,,0.30000000000000004,,,,200.3
媚妃户外,,,,,,200.0,,,,,,,,,,,,,,,,200.0
